RespondentID,Engage,Develop,Teamwork & Trust,Sustainable Engagement
531,22,14,7,16
532,22,14,8,13
533,11,6,5,7
534,23,14,10,15
535,16,8,6,10
536,18,3,11,17
537,15,8,9,11
538,26,15,15,15
539,10,6,6,8
540,18,9,9,17
541,27,14,12,17
542,26,16,15,18
543,10,6,5,9
544,22,14,11,15
545,23,16,13,10
546,27,18,6,15
547,11,6,5,8
548,25,15,11,19
549,11,14,11,10
550,23,12,8,14
551,43,21,4,27
552,13,7,5,11
553,33,24,18,24
554,10,7,5,9
555,33,21,7,22
556,26,17,17,14
557,13,1,5,6
558,47,25,20,25
559,21,11,6,11
560,20,11,8,11
561,29,16,10,21
562,32,18,12,16
563,16,7,6,9
564,29,12,9,12
565,25,14,13,10
566,21,13,8,13
567,19,8,7,13
568,22,16,10,13
569,15,8,6,10
570,24,14,8,12
571,27,17,12,21
572,20,12,8,14
573,11,6,5,8
574,27,16,14,14
575,23,12,8,16
576,35,20,10,18
577,35,16,11,18
578,31,16,10,20
579,14,10,8,10
580,16,10,8,12
581,21,15,10,17
582,36,17,17,16
583,16,11,8,12
584,14,6,5,8
585,22,14,13,18
586,24,12,7,13
587,12,7,6,10
588,39,24,19,27
589,16,9,6,9
590,13,7,5,8
591,25,10,6,10
592,35,18,16,18
593,12,6,5,8
594,25,14,13,18
595,28,15,11,21
596,20,15,10,14
597,10,5,5,9
598,37,23,17,18
599,27,11,12,15
600,16,8,5,9
601,36,24,11,14
602,12,8,9,10
603,25,12,15,16
604,14,6,5,8
605,14,9,5,9
606,22,10,5,13
607,17,5,4,9
608,14,7,6,11
609,18,9,9,9
610,14,8,5,8
611,11,6,5,8
612,46,30,25,34
613,13,6,8,9
614,32,21,25,18
615,23,13,11,14
616,28,15,13,15
617,23,22,21,15
618,23,11,6,8
619,34,19,16,17
620,15,7,5,8
621,10,6,5,8
622,48,20,19,23
623,31,20,6,18
624,26,16,10,16
625,22,9,6,16
626,10,6,6,12
627,20,16,9,16
628,31,18,9,16
629,18,13,5,12
630,19,12,8,12
631,13,6,5,9
632,26,19,15,17
633,13,7,5,10
634,30,16,12,15
635,15,7,5,9
636,12,7,5,11
637,18,10,10,13
638,34,19,18,24
639,23,14,7,11
640,14,14,5,11
641,21,17,12,19
642,25,18,10,19
643,11,8,5,9
644,30,23,13,17
645,28,18,10,19
646,16,10,9,11
647,31,15,13,15
648,27,14,15,12
649,21,12,8,17
650,29,19,11,19
651,12,6,5,14
652,17,15,8,12
653,14,11,7,10
654,18,0,9,14
655,19,9,8,11
656,21,12,7,9
657,26,13,12,15
658,18,14,10,12
659,43,26,18,23
660,14,8,7,10
661,24,13,8,14
662,28,16,15,19
663,15,6,7,9
664,38,24,10,19
665,11,6,5,12
666,10,6,5,8
667,13,5,4,8
668,34,18,15,15
669,41,26,20,25
670,10,6,5,8
671,10,6,6,9
672,19,15,10,13
673,20,3,7,8
674,21,14,5,11
675,23,7,6,13
676,24,16,8,18
677,15,7,8,14
678,13,7,5,8
679,19,8,7,12
680,21,13,12,9
681,25,18,12,15
682,16,7,6,9
683,20,10,14,20
684,33,12,17,10
685,17,8,8,11
686,14,6,5,9
687,13,8,5,10
688,33,20,13,18
689,37,22,14,18
690,21,12,9,11
691,17,9,6,14
692,23,13,8,16
693,27,15,10,14
694,12,6,5,8
695,22,12,7,15
696,29,14,9,15
697,15,8,8,10
698,14,6,5,8
699,19,11,5,9
700,19,11,20,15
701,17,10,7,15
702,13,6,5,8
703,11,6,5,12
704,12,6,5,9
705,31,13,7,16
706,18,12,10,13
707,26,13,10,15
708,22,10,9,7
709,27,16,10,18
710,10,6,5,10
711,28,13,10,14
712,47,26,15,25
713,23,18,7,17
714,10,6,5,8
