Team,IsHome,Opponent,Result,IsOT,TeamScore,OpponentScore,ResultDifferential,Year,Month,Season,Rest,2PPctAllowed,3PPctAllowed,PTSAllowed,ORBAllowed,DRBAllowed,TRBAllowed,STLAllowed,BLKAllowed,TOVForced,PFForced,PossAllowed,2PPct,3PPct,FTPct,PTS,ORB,DRB,TRB,STL,BLK,TOV,PF,Poss,DefRating,OffRating,oppmRest,2PPctAllowed_Opp,3PPctAllowed_Opp,PTSAllowed_Opp,ORBAllowed_Opp,DRBAllowed_Opp,TRBAllowed_Opp,STLAllowed_Opp,BLKAllowed_Opp,TOVForced_Opp,PFForced_Opp,PossAllowed_Opp,2PPct_Opp,3PPct_Opp,FTPct_Opp,PTS_Opp,ORB_Opp,DRB_Opp,TRB_Opp,STL_Opp,BLK_Opp,TOV_Opp,PF_Opp,Poss_Opp,DefRating_Opp,OffRating_Opp
LAC,0,ORL,0,0,87,113,-26,2010,3,2009,3,0.493339792,0.353887399,100.96875,10.890625,30.0625,40.953125,8.46875,4.578125,12.71875,19.875,91.82421875,0.487980173,0.329639889,0.73015873,95.515625,11.25,30.234375,41.484375,6.71875,5.796875,14.875,19.875,87.565625,109.9587357,109.0789051,2,0.456102784,0.364267129,95.32307692,9.769230769,30.84615385,40.61538462,6.784615385,3.584615385,12.23076923,22.21538462,90.68076923,0.516070346,0.363381859,0.726540012,101.7384615,9.830769231,33.56923077,43.4,6.415384615,5.523076923,13.8,20.07692308,86.93961538,105.119396,117.0219825
NOH,0,SAS,0,0,89,112,-23,2005,3,2004,2,0.475586728,0.368821293,95.32258065,11.72580645,30.16129032,41.88709677,7.596774194,5.435483871,13.66129032,20.64516129,86.91975806,0.440989039,0.316346154,0.770676692,88.25806452,12.41935484,27.66129032,40.08064516,6.806451613,3.580645161,13.75806452,22.91935484,88.89919355,109.6673331,99.27881344,2,0.430352433,0.371014493,86.88888889,10.46031746,28.46031746,38.92063492,7.206349206,4.73015873,14.49206349,23.01587302,84.08968254,0.490805491,0.364333653,0.724307692,96.93650794,11.71428571,30.74603175,42.46031746,7.555555556,6.492063492,13.20634921,20.46031746,88.60119048,103.3288345,109.4076811
NYK,0,GSW,0,0,85,121,-36,2016,3,2015,3,0.481238698,0.339773484,101.6376812,10.92753623,33.33333333,44.26086957,7.028985507,4.31884058,10.88405797,19.08695652,97.08586957,0.473781474,0.339958876,0.807717462,98.91304348,10.28985507,33.68115942,43.97101449,5.724637681,5.579710145,12.47826087,20.07246377,92.22137681,104.6884388,107.2560906,2,0.4719405,0.328871893,104.3134328,11.43283582,32.25373134,43.68656716,8.71641791,4.014925373,13.95522388,20.32835821,98.81716418,0.52924054,0.415103415,0.759973839,115.6865672,10.28358209,36.1641791,46.44776119,8.388059701,6.044776119,14.88059701,20.89552239,93.67574627,105.5620587,123.4968194
PHI,0,SAC,0,0,109,118,-9,2005,3,2004,1,0.467753201,0.362686567,99.52857143,11.52857143,32.12857143,43.65714286,8.142857143,4.7,16.34285714,23.78571429,88.86357143,0.459495352,0.352793995,0.786279683,98.72857143,11.2,30.75714286,41.95714286,9.185714286,3.857142857,15.25714286,22.8,90.47321429,112.0015433,109.1246423,2,0.477885002,0.363244176,100.9166667,13.69444444,31.09722222,44.79166667,7.625,4.430555556,14.33333333,21.38888889,95.74375,0.47972973,0.372093023,0.787270642,102.8194444,11.97222222,30.06944444,42.04166667,8.361111111,3.930555556,12.75,20.19444444,95.28333333,105.4028766,107.9091598
POR,0,DAL,0,0,98,103,-5,2014,3,2013,2,0.476816609,0.352833638,102.5645161,11.29032258,31.5,42.79032258,7.64516129,3.677419355,11.67741935,20.58064516,97.84193548,0.481825213,0.37653127,0.822175732,107.5645161,12.62903226,33.87096774,46.5,5.580645161,4.870967742,13.51612903,19.4516129,97.67983871,104.8267449,110.1194653,2,0.505599563,0.360934183,102.3333333,11.20634921,31.55555556,42.76190476,7.666666667,3.682539683,15.50793651,19.63492063,88.30912698,0.508294453,0.377667141,0.79954955,104.4444444,10.01587302,30.19047619,40.20634921,8.825396825,4.222222222,13.03174603,20.23809524,90.58253968,115.8808119,115.3030648
IND,0,DEN,0,0,87,96,-9,2005,3,2004,2,0.458891013,0.363881402,93.26315789,12.19298246,29.80701754,42,6.894736842,5.228070175,14.03508772,23.22807018,88.15350877,0.467592593,0.335557674,0.772638436,92.49122807,10.24561404,29.10526316,39.35087719,7.789473684,4.964912281,13.87719298,23.05263158,84.40570175,105.7963083,109.5793603,2,0.475593128,0.337271751,96.01724138,11.62068966,29.96551724,41.5862069,7.672413793,5.603448276,15.74137931,23.89655172,87.55431034,0.467388567,0.312111801,0.768746062,95.43103448,11.84482759,29.68965517,41.53448276,8.965517241,5.879310345,14.93103448,22.68965517,89.47974138,109.6659216,106.650995
NYK,0,GSW,0,0,63,92,-29,2013,3,2012,2,0.490517241,0.365384615,95.75409836,9.754098361,32.04918033,41.80327869,6.327868852,3.950819672,14.49180328,19.50819672,83.82377049,0.480373832,0.367152466,0.761654135,99.37704918,11.19672131,30.06557377,41.26229508,8.245901639,3.754098361,11.72131148,19.44262295,91.70081967,114.2326309,108.3709497,2,0.475257473,0.344444444,100.8,11.24615385,31.81538462,43.06153846,8.4,5.2,12.87692308,19.63076923,94.91192308,0.469744836,0.397070162,0.794076164,100.5692308,10.95384615,34.09230769,45.04615385,6.830769231,3.984615385,14.98461538,21.81538462,89.59307692,106.2037273,112.2511183
UTA,0,SAS,0,0,94,101,-7,2005,3,2004,2,0.480473373,0.382226981,98.44067797,10.22033898,26.86440678,37.08474576,7.847457627,5.745762712,13.77966102,25.44067797,85.1779661,0.471571072,0.340540541,0.765060241,95.23728814,12.59322034,27.88135593,40.47457627,6.237288136,4.677966102,15.08474576,27.23728814,88.24576271,115.57059,107.9227888,2,0.430337368,0.373065015,86.6779661,10.33898305,28.27118644,38.61016949,7.237288136,4.779661017,14.55932203,23.03389831,83.52372881,0.491553586,0.361593463,0.726973684,96.89830508,11.84745763,30.49152542,42.33898305,7.508474576,6.525423729,13.25423729,20.61016949,88.62711864,103.7764565,109.3325684
LAL,0,DAL,0,0,111,122,-11,2017,3,2016,2,0.53125,0.368150685,110.984375,10.390625,34.40625,44.796875,8.5625,5.234375,13.625,18.375,94.48125,0.486416559,0.349383441,0.760601915,104.015625,11.40625,32.4375,43.84375,7.96875,3.90625,14.703125,20.828125,94.55390625,117.46709,110.0066926,2,0.507067138,0.379844961,99.84126984,8.904761905,35.25396825,44.15873016,6.380952381,3.396825397,14.85714286,19.42857143,83.19246032,0.492586989,0.359275053,0.803508772,98.31746032,7.904761905,30.49206349,38.3968254,7.761904762,3.73015873,11.20634921,19.26984127,87.53174603,120.0124019,112.32206
CLE,0,DEN,0,0,113,126,-13,2017,3,2016,3,0.499410238,0.365336028,106.6142857,11.1,33.05714286,44.15714286,7.157142857,4.385714286,12.08571429,20.68571429,97.13928571,0.523582257,0.388185654,0.747292419,110.4571429,9.357142857,34.28571429,43.64285714,6.585714286,3.942857143,13.12857143,17.84285714,92.24928571,109.7540351,119.7376673,2,0.520282589,0.379159847,111,9.098591549,30.97183099,40.07042254,8.408450704,4.76056338,11.63380282,20.28169014,95.58133803,0.51494143,0.373583046,0.768257619,111.5211268,12.15492958,34.11267606,46.26760563,7.042253521,3.957746479,14.71830986,19.38028169,96.56373239,116.1314565,115.4896606
